environment,benchmark,metric,unit,sample_count,valid_count,mean,median,stdev,cv_percent,min,max,p50,p95,p99
host,app_latency,connect_ms.max,,2,2,0.264232,0.264232,0.0871,32.9635,0.202643,0.325821,0.264232,0.319662,0.324589
host,app_latency,connect_ms.mean,,2,2,0.049206,0.049206,0.005981,12.1544,0.044977,0.053435,0.049206,0.053012,0.05335
host,app_latency,connect_ms.median,,2,2,0.035403,0.035403,0.01067,30.1394,0.027858,0.042948,0.035403,0.042194,0.042797
host,app_latency,connect_ms.min,,2,2,0.013906,0.013906,0.000153,1.0983,0.013798,0.014014,0.013906,0.014003,0.014012
host,app_latency,connect_ms.p50,,2,2,0.035403,0.035403,0.01067,30.1394,0.027858,0.042948,0.035403,0.042194,0.042797
host,app_latency,connect_ms.p95,,2,2,0.129567,0.129567,0.070718,54.5808,0.079561,0.179572,0.129567,0.174571,0.178572
host,app_latency,connect_ms.p99,,2,2,0.22378,0.22378,0.132597,59.2531,0.13002,0.31754,0.22378,0.308164,0.315665
host,app_latency,connect_ms.stdev,,2,2,0.043897,0.043897,0.024724,56.3221,0.026415,0.06138,0.043897,0.059632,0.06103
host,app_latency,http_200_count,,2,2,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0
host,app_latency,requests_attempted,,2,2,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0
host,app_latency,requests_completed,,3,3,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0
host,app_latency,total_duration_ms.cv_percent,,2,2,95.58905,95.58905,13.353358,13.9695,86.1468,105.0313,95.58905,104.087075,104.842455
host,app_latency,total_duration_ms.max,,2,2,1.77167,1.77167,0.177121,9.9974,1.646426,1.896913,1.77167,1.884389,1.894408
host,app_latency,total_duration_ms.mean,,2,2,0.249256,0.249256,0.006394,2.5654,0.244735,0.253778,0.249256,0.253326,0.253688
host,app_latency,total_duration_ms.median,,2,2,0.167594,0.167594,0.058527,34.9217,0.126209,0.208978,0.167594,0.20484,0.20815
host,app_latency,total_duration_ms.min,,2,2,0.090378,0.090378,0.000133,0.1471,0.090284,0.090472,0.090378,0.090463,0.09047
host,app_latency,total_duration_ms.missing_count,,2,2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
host,app_latency,total_duration_ms.p50,,2,2,0.167594,0.167594,0.058527,34.9217,0.126209,0.208978,0.167594,0.20484,0.20815
host,app_latency,total_duration_ms.p95,,2,2,0.601039,0.601039,0.210579,35.0357,0.452138,0.749941,0.601039,0.735051,0.746963
host,app_latency,total_duration_ms.p99,,2,2,1.068411,1.068411,0.329071,30.8,0.835723,1.301099,1.068411,1.27783,1.296445
host,app_latency,total_duration_ms.stdev,,2,2,0.238688,0.238688,0.039396,16.5054,0.210831,0.266546,0.238688,0.26376,0.265989
host,app_latency,total_duration_ms.total_count,,2,2,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0
host,app_latency,total_duration_ms.valid_count,,2,2,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0
host,app_latency,total_ms.max,,2,2,1.77167,1.77167,0.177121,9.9974,1.646426,1.896913,1.77167,1.884389,1.894408
host,app_latency,total_ms.mean,,2,2,0.249256,0.249256,0.006394,2.5654,0.244735,0.253778,0.249256,0.253326,0.253688
host,app_latency,total_ms.median,,2,2,0.167594,0.167594,0.058527,34.9217,0.126209,0.208978,0.167594,0.20484,0.20815
host,app_latency,total_ms.min,,2,2,0.090378,0.090378,0.000133,0.1471,0.090284,0.090472,0.090378,0.090463,0.09047
host,app_latency,total_ms.p50,,2,2,0.167594,0.167594,0.058527,34.9217,0.126209,0.208978,0.167594,0.20484,0.20815
host,app_latency,total_ms.p95,,2,2,0.601039,0.601039,0.210579,35.0357,0.452138,0.749941,0.601039,0.735051,0.746963
host,app_latency,total_ms.p99,,2,2,1.068411,1.068411,0.329071,30.8,0.835723,1.301099,1.068411,1.27783,1.296445
host,app_latency,total_ms.stdev,,2,2,0.238688,0.238688,0.039396,16.5054,0.210831,0.266546,0.238688,0.26376,0.265989
host,app_latency,total_time_ms.cv_percent,,3,3,184.3794,105.0313,154.078989,83.5663,86.1468,361.9601,105.0313,336.26722,356.821524
host,app_latency,total_time_ms.max,,3,3,7.937344,1.896913,10.679996,134.5538,1.646426,20.268694,1.896913,18.431516,19.901258
host,app_latency,total_time_ms.mean,,3,3,0.353785,0.253778,0.181106,51.1908,0.244735,0.562843,0.253778,0.531937,0.556662
host,app_latency,total_time_ms.median,,3,3,0.193079,0.208978,0.060508,31.3386,0.126209,0.244051,0.208978,0.240544,0.24335
host,app_latency,total_time_ms.min,,3,3,0.113997,0.090472,0.040909,35.886,0.090284,0.161234,0.090472,0.154158,0.159819
host,app_latency,total_time_ms.missing_count,,3,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
host,app_latency,total_time_ms.p50,,3,3,0.193079,0.208978,0.060508,31.3386,0.126209,0.244051,0.208978,0.240544,0.24335
host,app_latency,total_time_ms.p95,,3,3,0.633099,0.697217,0.158918,25.1017,0.452138,0.749941,0.697217,0.744669,0.748887
host,app_latency,total_time_ms.p99,,3,3,2.105468,1.301099,1.811244,86.0257,0.835723,4.179581,1.301099,3.891733,4.122011
host,app_latency,total_time_ms.stdev,,3,3,0.838214,0.266546,1.038783,123.9281,0.210831,2.037266,0.266546,1.860194,2.001852
host,app_latency,total_time_ms.total_count,,3,3,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0
host,app_latency,total_time_ms.valid_count,,3,3,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0
host,app_latency,ttfb_ms.cv_percent,,1,1,426.1726,426.1726,0.0,0.0,426.1726,426.1726,426.1726,426.1726,426.1726
host,app_latency,ttfb_ms.max,,3,3,7.901203,1.877963,10.659368,134.9082,1.616988,20.208659,1.877963,18.375589,19.842045
host,app_latency,ttfb_ms.mean,,3,3,0.29789,0.217435,0.149437,50.1651,0.205918,0.470316,0.217435,0.445028,0.465258
host,app_latency,ttfb_ms.median,,3,3,0.159006,0.172717,0.050123,31.5227,0.103454,0.200846,0.172717,0.198033,0.200283
host,app_latency,ttfb_ms.min,,3,3,0.090935,0.071738,0.035935,39.5173,0.068676,0.132392,0.071738,0.126327,0.131179
host,app_latency,ttfb_ms.missing_count,,1,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
host,app_latency,ttfb_ms.p50,,3,3,0.159006,0.172717,0.050123,31.5227,0.103454,0.200846,0.172717,0.198033,0.200283
host,app_latency,ttfb_ms.p95,,3,3,0.494688,0.494679,0.136713,27.6362,0.35798,0.631406,0.494679,0.617733,0.628671
host,app_latency,ttfb_ms.p99,,3,3,1.381059,1.280436,0.632774,45.818,0.804625,2.058115,1.280436,1.980347,2.042561
host,app_latency,ttfb_ms.stdev,,3,3,0.821435,0.25392,1.024722,124.7479,0.206025,2.004359,0.25392,1.829315,1.96935
host,app_latency,ttfb_ms.total_count,,1,1,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0
host,app_latency,ttfb_ms.valid_count,,1,1,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0
host,cpu_deterministic,cpu_percentage,%,12,12,96.5,100.0,4.379705,4.5386,90.0,100.0,100.0,100.0,100.0
