environment,benchmark,metric,unit,quality_flag,total_runs,successful_runs,failed_runs,unavailable_runs,mean,median,min,max,stdev,cv_percent,p50,p95,p99,traceable_run_count
host,app_latency,connect_ms.max,,PASS,15,15,0,0,0.279087,0.231671,0.132395,0.607761,0.125696,45.0383,0.231671,0.477737,0.581756,13
host,app_latency,connect_ms.mean,,PASS,15,15,0,0,0.055507,0.050352,0.021092,0.166662,0.034831,62.7503,0.050352,0.100896,0.153509,13
host,app_latency,connect_ms.median,,PASS,15,15,0,0,0.039172,0.031248,0.017736,0.139166,0.031319,79.9526,0.031248,0.081435,0.12762,13
host,app_latency,connect_ms.min,,PASS,15,15,0,0,0.016342,0.013798,0.011376,0.040918,0.007948,48.6378,0.013798,0.029567,0.038648,13
host,app_latency,connect_ms.p50,ms,PASS,15,15,0,0,0.039172,0.031248,0.017736,0.139166,0.031319,79.9526,0.031248,0.081435,0.12762,13
host,app_latency,connect_ms.p95,ms,PASS,15,15,0,0,0.143403,0.143831,0.033982,0.35388,0.07729,53.897,0.143831,0.249473,0.332999,13
host,app_latency,connect_ms.p99,ms,PASS,15,15,0,0,0.226708,0.196642,0.075742,0.541973,0.121353,53.5281,0.196642,0.407313,0.515041,13
host,app_latency,connect_ms.stdev,,PASS,15,15,0,0,0.046419,0.045367,0.013956,0.098445,0.021167,45.5994,0.045367,0.076206,0.093997,13
host,app_latency,http_200_count,,PASS,15,15,0,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,13
host,app_latency,hypervisor_telemetry.host_mem_available_kb,,PASS,15,15,0,0,8788641.777778,8898184.0,8412752.0,8909928.0,211040.146409,2.4013,8898184.0,8908688.0,8909680.0,9
host,app_latency,hypervisor_telemetry.host_mem_total_kb,,PASS,15,15,0,0,15987832.0,15987832.0,15987832.0,15987832.0,0.0,0.0,15987832.0,15987832.0,15987832.0,9
host,app_latency,hypervisor_telemetry.logical_cpus,,PASS,15,15,0,0,12.0,12.0,12.0,12.0,0.0,0.0,12.0,12.0,12.0,9
host,app_latency,hypervisor_telemetry.timestamp,,PASS,15,15,0,0,1789587053.422498,1789586359.332093,1789585969.812095,1789589872.296361,1606.275929,0.0001,1789586359.332093,1789589871.860143,1789589872.209117,9
host,app_latency,requests_attempted,,PASS,15,15,0,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,13
host,app_latency,requests_completed,count,PASS,15,15,0,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,15
host,app_latency,total_duration_ms.cv_percent,,PASS,15,15,0,0,87.871177,86.1468,42.3684,154.5719,34.029583,38.7267,86.1468,148.70756,153.399032,13
host,app_latency,total_duration_ms.max,,PASS,15,15,0,0,1.750287,1.646426,0.627829,3.64146,0.918289,52.465,1.646426,3.525946,3.618357,13
host,app_latency,total_duration_ms.mean,,PASS,15,15,0,0,0.281789,0.253778,0.134737,0.756512,0.150385,53.3677,0.253778,0.483213,0.701852,13
host,app_latency,total_duration_ms.median,,PASS,15,15,0,0,0.209192,0.189091,0.1042,0.687213,0.149679,71.5512,0.189091,0.414683,0.632707,13
host,app_latency,total_duration_ms.min,,PASS,15,15,0,0,0.107156,0.090284,0.076706,0.28231,0.056284,52.5252,0.090284,0.201704,0.266189,13
host,app_latency,total_duration_ms.missing_count,,PASS,15,15,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,13
host,app_latency,total_duration_ms.p50,ms,PASS,15,15,0,0,0.209192,0.189091,0.1042,0.687213,0.149679,71.5512,0.189091,0.414683,0.632707,13
host,app_latency,total_duration_ms.p95,ms,PASS,15,15,0,0,0.632215,0.624198,0.19907,1.385388,0.285484,45.1562,0.624198,1.046495,1.317609,13
