run_id,experiment_id,environment,benchmark,timestamp,exit_code,status,gflops,throughput_mb_s,ops_per_sec,latency_ns,latency_us,elapsed_sec,wall_time_sec,cpu_percentage,max_rss_kb,checksum
scheduling_deterministic-host-35cc8805,exp-20260916-105426-2820c0,host,scheduling_deterministic,2026-09-16T10:54:30.635290+00:00,0,success,,,,,2.348,0.093907,0.09,85.0,592,0x909e926a36d3fca6
scheduling_deterministic-host-e893daa2,exp-20260916-105426-2820c0,host,scheduling_deterministic,2026-09-16T10:54:30.721315+00:00,0,success,,,,,1.962,0.078471,0.08,91.0,592,0x909e926a36d3fca6
scheduling_deterministic-host-5ca8b625,exp-20260916-110655-920b1e,host,scheduling_deterministic,2026-09-16T11:06:59.568270+00:00,0,success,,,,,2.283,0.091334,0.09,85.0,592,0x909e926a36d3fca6
scheduling_deterministic-host-11de5539,exp-20260916-110655-920b1e,host,scheduling_deterministic,2026-09-16T11:06:59.663918+00:00,0,success,,,,,2.218,0.088737,0.09,92.0,600,0x909e926a36d3fca6
scheduling_deterministic-host-2dad93ae,exp-20260916-111643-e9d268,host,scheduling_deterministic,2026-09-16T11:16:47.323485+00:00,0,success,,,,,2.389,0.095556,0.1,88.0,592,0x909e926a36d3fca6
scheduling_deterministic-host-d01d2c08,exp-20260916-111643-e9d268,host,scheduling_deterministic,2026-09-16T11:16:47.421235+00:00,0,success,,,,,2.216,0.088659,0.09,79.0,592,0x909e926a36d3fca6
scheduling_deterministic-host-cbdf41d6,exp-20260916-111643-e9d268,host,scheduling_deterministic,2026-09-16T11:16:47.521397+00:00,0,success,,,,,2.329,0.093167,0.09,83.0,592,0x909e926a36d3fca6
scheduling_deterministic-host-20658416,exp-20260916-111643-e9d268,host,scheduling_deterministic,2026-09-16T11:16:47.640737+00:00,0,success,,,,,2.664,0.106563,0.11,83.0,592,0x909e926a36d3fca6
scheduling_deterministic-host-66bcbfa0,exp-20260916-111643-e9d268,host,scheduling_deterministic,2026-09-16T11:16:47.750711+00:00,0,success,,,,,2.456,0.098245,0.1,91.0,592,0x909e926a36d3fca6
scheduling_deterministic-virtualbox-3e94fa4d,exp-20260916-105528-ba33df,virtualbox,scheduling_deterministic,2026-09-16T10:55:32.311348+00:00,0,success,,,,,2.164,0.086564,0.09,89.0,592,0x909e926a36d3fca6
scheduling_deterministic-virtualbox-b3b583ef,exp-20260916-105528-ba33df,virtualbox,scheduling_deterministic,2026-09-16T10:55:32.402315+00:00,0,success,,,,,1.966,0.078656,0.08,88.0,592,0x909e926a36d3fca6
scheduling_deterministic-virtualbox-164f5410,exp-20260916-111744-b6ca9b,virtualbox,scheduling_deterministic,2026-09-16T11:17:50.076292+00:00,0,success,,,,,2.156,0.086246,0.09,87.0,592,0x909e926a36d3fca6
scheduling_deterministic-virtualbox-b9e401ce,exp-20260916-111744-b6ca9b,virtualbox,scheduling_deterministic,2026-09-16T11:17:50.196041+00:00,0,success,,,,,2.655,0.106194,0.11,79.0,592,0x909e926a36d3fca6
scheduling_deterministic-virtualbox-b76d3bbd,exp-20260916-111744-b6ca9b,virtualbox,scheduling_deterministic,2026-09-16T11:17:50.292082+00:00,0,success,,,,,2.163,0.086525,0.09,90.0,592,0x909e926a36d3fca6
scheduling_deterministic-virtualbox-fa83d491,exp-20260916-111744-b6ca9b,virtualbox,scheduling_deterministic,2026-09-16T11:17:50.410398+00:00,0,success,,,,,2.395,0.095795,0.11,80.0,592,0x909e926a36d3fca6
scheduling_deterministic-virtualbox-a5356c39,exp-20260916-111744-b6ca9b,virtualbox,scheduling_deterministic,2026-09-16T11:17:50.516179+00:00,0,success,,,,,2.407,0.096292,0.1,88.0,592,0x909e926a36d3fca6
scheduling_deterministic-kvm-7ff0796c,exp-20260916-105447-453a14,kvm,scheduling_deterministic,2026-09-16T10:54:50.925571+00:00,0,success,,,,,2.115,0.084594,0.09,91.0,592,0x909e926a36d3fca6
scheduling_deterministic-kvm-7e05abe9,exp-20260916-105447-453a14,kvm,scheduling_deterministic,2026-09-16T10:54:51.022635+00:00,0,success,,,,,2.197,0.087865,0.09,91.0,592,0x909e926a36d3fca6
scheduling_deterministic-kvm-7458c327,exp-20260916-111705-86eddd,kvm,scheduling_deterministic,2026-09-16T11:17:09.644585+00:00,0,success,,,,,2.367,0.094674,0.1,87.0,592,0x909e926a36d3fca6
scheduling_deterministic-kvm-3ab7954b,exp-20260916-111705-86eddd,kvm,scheduling_deterministic,2026-09-16T11:17:09.752637+00:00,0,success,,,,,2.424,0.096974,0.1,88.0,592,0x909e926a36d3fca6
scheduling_deterministic-kvm-a67a9e70,exp-20260916-111705-86eddd,kvm,scheduling_deterministic,2026-09-16T11:17:09.851447+00:00,0,success,,,,,2.236,0.089451,0.09,84.0,592,0x909e926a36d3fca6
scheduling_deterministic-kvm-c2d706b5,exp-20260916-111705-86eddd,kvm,scheduling_deterministic,2026-09-16T11:17:09.960942+00:00,0,success,,,,,2.241,0.089627,0.09,92.0,592,0x909e926a36d3fca6
scheduling_deterministic-kvm-53d10da7,exp-20260916-111705-86eddd,kvm,scheduling_deterministic,2026-09-16T11:17:10.081351+00:00,0,success,,,,,2.488,0.099518,0.11,88.0,592,0x909e926a36d3fca6
scheduling_deterministic-lxc-6902fd1e,exp-20260916-105609-94ad61,lxc,scheduling_deterministic,2026-09-16T10:56:13.873353+00:00,0,success,,,,,2.065,0.082589,0.08,86.0,592,0x909e926a36d3fca6
scheduling_deterministic-lxc-8e58d409,exp-20260916-105609-94ad61,lxc,scheduling_deterministic,2026-09-16T10:56:13.981310+00:00,0,success,,,,,2.38,0.095217,0.1,86.0,592,0x909e926a36d3fca6
scheduling_deterministic-lxc-eb243914,exp-20260916-111824-1722b1,lxc,scheduling_deterministic,2026-09-16T11:18:30.109541+00:00,0,success,,,,,2.511,0.10043,0.11,83.0,592,0x909e926a36d3fca6
scheduling_deterministic-lxc-33ae26d8,exp-20260916-111824-1722b1,lxc,scheduling_deterministic,2026-09-16T11:18:30.222734+00:00,0,success,,,,,2.503,0.100103,0.1,82.0,592,0x909e926a36d3fca6
scheduling_deterministic-lxc-e5f35f1d,exp-20260916-111824-1722b1,lxc,scheduling_deterministic,2026-09-16T11:18:30.310394+00:00,0,success,,,,,1.97,0.078803,0.08,84.0,592,0x909e926a36d3fca6
scheduling_deterministic-lxc-b1ad6104,exp-20260916-111824-1722b1,lxc,scheduling_deterministic,2026-09-16T11:18:30.419810+00:00,0,success,,,,,2.452,0.098095,0.1,90.0,592,0x909e926a36d3fca6
scheduling_deterministic-lxc-32f6ac0b,exp-20260916-111824-1722b1,lxc,scheduling_deterministic,2026-09-16T11:18:30.530808+00:00,0,success,,,,,2.491,0.099641,0.1,85.0,592,0x909e926a36d3fca6
