run_id,experiment_id,environment,benchmark,timestamp,exit_code,status,gflops,throughput_mb_s,ops_per_sec,latency_ns,latency_us,elapsed_sec,wall_time_sec,cpu_percentage,max_rss_kb,checksum
syscall_deterministic-lxc-2f1af8b6,exp-20260916-105609-94ad61,lxc,syscall_deterministic,2026-09-16T10:56:13.651818+00:00,0,success,,,10751869.64,93.01,,0.018601,0.02,95.0,588,0x32fb2f0b38dbe0fd
syscall_deterministic-lxc-19c58ed8,exp-20260916-105609-94ad61,lxc,syscall_deterministic,2026-09-16T10:56:13.674957+00:00,0,success,,,11458276.52,87.27,,0.017455,0.01,89.0,588,0x8a5081c1a372888c
syscall_deterministic-lxc-9bea075a,exp-20260916-111824-1722b1,lxc,syscall_deterministic,2026-09-16T11:18:29.273145+00:00,0,success,,,10304381.64,97.05,,0.019409,0.02,95.0,508,0x910337ad2e878cb2
syscall_deterministic-lxc-5a383f64,exp-20260916-111824-1722b1,lxc,syscall_deterministic,2026-09-16T11:18:29.301474+00:00,0,success,,,8906742.36,112.27,,0.022455,0.02,95.0,588,0x433d90b5783ac70a
syscall_deterministic-lxc-eec46e27,exp-20260916-111824-1722b1,lxc,syscall_deterministic,2026-09-16T11:18:29.327483+00:00,0,success,,,9955822.53,100.44,,0.020089,0.02,90.0,588,0x9643f85f82791982
syscall_deterministic-lxc-559e1cdc,exp-20260916-111824-1722b1,lxc,syscall_deterministic,2026-09-16T11:18:29.346674+00:00,0,success,,,14018794.44,71.33,,0.014267,0.01,100.0,588,0x9b4c2685256ea103
syscall_deterministic-lxc-946eb9de,exp-20260916-111824-1722b1,lxc,syscall_deterministic,2026-09-16T11:18:29.372831+00:00,0,success,,,9475945.17,105.53,,0.021106,0.02,95.0,588,0x6064d32b729fa80e
syscall_deterministic-kvm-fed43f5e,exp-20260916-105447-453a14,kvm,syscall_deterministic,2026-09-16T10:54:50.698226+00:00,0,success,,,11839456.73,84.46,,0.016893,0.01,89.0,588,0xf753c048781a5ec4
syscall_deterministic-kvm-b8aa65c5,exp-20260916-105447-453a14,kvm,syscall_deterministic,2026-09-16T10:54:50.722394+00:00,0,success,,,10543888.57,94.84,,0.018968,0.02,100.0,588,0xc5ca2f51f1247543
syscall_deterministic-kvm-53edfded,exp-20260916-111705-86eddd,kvm,syscall_deterministic,2026-09-16T11:17:08.804772+00:00,0,success,,,10721069.09,93.27,,0.018655,0.02,100.0,588,0xdc591ba62631b261
syscall_deterministic-kvm-6999e966,exp-20260916-111705-86eddd,kvm,syscall_deterministic,2026-09-16T11:17:08.832805+00:00,0,success,,,9358167.29,106.86,,0.021372,0.02,95.0,588,0xb00cfad0fd26ee96
syscall_deterministic-kvm-318f969d,exp-20260916-111705-86eddd,kvm,syscall_deterministic,2026-09-16T11:17:08.860922+00:00,0,success,,,10705444.36,93.41,,0.018682,0.02,90.0,588,0x592776962dc0eb8e
syscall_deterministic-kvm-cb289879,exp-20260916-111705-86eddd,kvm,syscall_deterministic,2026-09-16T11:17:08.884252+00:00,0,success,,,11794048.09,84.79,,0.016958,0.01,100.0,588,0x4c71aed72497dee2
syscall_deterministic-kvm-5e012c40,exp-20260916-111705-86eddd,kvm,syscall_deterministic,2026-09-16T11:17:08.908476+00:00,0,success,,,10835095.48,92.29,,0.018459,0.02,100.0,588,0xc4f68c2760895b71
syscall_deterministic-virtualbox-4f42768d,exp-20260916-105528-ba33df,virtualbox,syscall_deterministic,2026-09-16T10:55:32.086810+00:00,0,success,,,9341787.9,107.05,,0.021409,0.02,95.0,588,0x693c89040e68474d
syscall_deterministic-virtualbox-6c6d0a8e,exp-20260916-105528-ba33df,virtualbox,syscall_deterministic,2026-09-16T10:55:32.109958+00:00,0,success,,,12661607.22,78.98,,0.015796,0.01,83.0,588,0xfbc7e36a77e1e25e
syscall_deterministic-virtualbox-06b39125,exp-20260916-111744-b6ca9b,virtualbox,syscall_deterministic,2026-09-16T11:17:49.328870+00:00,0,success,,,9427713.29,106.07,,0.021214,0.02,95.0,588,0xd9df67da4d7ecee8
syscall_deterministic-virtualbox-b0533af0,exp-20260916-111744-b6ca9b,virtualbox,syscall_deterministic,2026-09-16T11:17:49.350588+00:00,0,success,,,12651245.64,79.04,,0.015809,0.01,94.0,588,0x717269f4eeb6314d
syscall_deterministic-virtualbox-842f74bb,exp-20260916-111744-b6ca9b,virtualbox,syscall_deterministic,2026-09-16T11:17:49.374628+00:00,0,success,,,10605033.6,94.29,,0.018859,0.02,95.0,588,0xcd19496e99074b11
syscall_deterministic-virtualbox-32562bb5,exp-20260916-111744-b6ca9b,virtualbox,syscall_deterministic,2026-09-16T11:17:49.404791+00:00,0,success,,,9995085.92,100.05,,0.02001,0.02,95.0,588,0x34fa6fc5607fe01b
syscall_deterministic-virtualbox-d64c06dc,exp-20260916-111744-b6ca9b,virtualbox,syscall_deterministic,2026-09-16T11:17:49.430918+00:00,0,success,,,10317508.43,96.92,,0.019385,0.02,90.0,588,0x9f365b9b7b6a391a
syscall_deterministic-host-19a09f15,exp-20260916-105426-2820c0,host,syscall_deterministic,2026-09-16T10:54:30.408776+00:00,0,success,,,12790513.33,78.18,,0.015637,0.01,100.0,588,0xd6261e2aca13295d
syscall_deterministic-host-4f2d56ca,exp-20260916-105426-2820c0,host,syscall_deterministic,2026-09-16T10:54:30.428796+00:00,0,success,,,12990037.81,76.98,,0.015396,0.01,100.0,588,0x2ef026f20d0418c1
syscall_deterministic-host-63c5c820,exp-20260916-110655-920b1e,host,syscall_deterministic,2026-09-16T11:06:58.877216+00:00,0,success,,,13265459.28,75.38,,0.015077,0.01,78.0,588,0x2a065e92e3fbd310
syscall_deterministic-host-c4b3386b,exp-20260916-110655-920b1e,host,syscall_deterministic,2026-09-16T11:06:58.906509+00:00,0,success,,,9081908.51,110.11,,0.022022,0.02,91.0,588,0x85f3e98d8aa50d7b
